name;TIPOLOGIA;OID_;PARK_ID;area;Centroid_X;Centroid_Y;Perimeter;id;long;lat
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1791275139;38.7387995609
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1776404949;38.7391068502
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1782776058;38.7395837888
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.2014894542;38.7396065886
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1772198611;38.7396498812
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1768577470;38.7400385434
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1783073288;38.7399203681
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1784070368;38.7403348675
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1797527532;38.7404867971
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1785913930;38.7405502471
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1752745582;38.7398089437
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1943716958;38.7244917053
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1928075227;38.7211944186
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1776547204;38.7336678060
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.2001663848;38.7189661554
PFM: Parque Florestal de Monsanto;;51;64;9100000.0000000000;-9.1900000000;38.7200000000;45136.4000000000;Lx079;-9.1923433368;38.7431864177
Jardim do Cabeço das Rolas - Parque das Nações;;52;65;62922.0200000000;-9.1000000000;38.7600000000;1411.9800000000;Lx080;-9.0981829219;38.7603752248
Jardim do Japão;;53;66;4351.0300000000;-9.2100000000;38.6900000000;517.3930000000;Lx081;-9.2094472676;38.6935660423
Jardim do Japão;;53;66;4351.0300000000;-9.2100000000;38.6900000000;517.3930000000;Lx081;-9.2090337607;38.6935311639
Jardim Central Tejo - Museu da Electricidade;;54;67;14292.7800000000;-9.2000000000;38.7000000000;2349.5300000000;Lx082;-9.1971561283;38.6952798912
Jardim Central Tejo - Museu da Electricidade;;54;67;14292.7800000000;-9.2000000000;38.7000000000;2349.5300000000;Lx082;-9.1974990081;38.6955424209
Jardim Central Tejo - Museu da Electricidade;;54;67;14292.7800000000;-9.2000000000;38.7000000000;2349.5300000000;Lx082;-9.1963523077;38.6954668430
Jardim Central Tejo - Museu da Electricidade;;54;67;14292.7800000000;-9.2000000000;38.7000000000;2349.5300000000;Lx082;-9.1970652061;38.6957251295
Jardim Central Tejo - Museu da Electricidade;;54;67;14292.7800000000;-9.2000000000;38.7000000000;2349.5300000000;Lx082;-9.1977275093;38.6958059163
Jardim Central Tejo - Museu da Electricidade;;54;67;14292.7800000000;-9.2000000000;38.7000000000;2349.5300000000;Lx082;-9.1973531318;38.6959241302
Jardim Central Tejo - Museu da Electricidade;;54;67;14292.7800000000;-9.2000000000;38.7000000000;2349.5300000000;Lx082;-9.1954576026;38.6959799112
Jardim Central Tejo - Museu da Electricidade;;54;67;14292.7800000000;-9.2000000000;38.7000000000;2349.5300000000;Lx082;-9.1960967122;38.6960075577
Jardim Central Tejo - Museu da Electricidade;;54;67;14292.7800000000;-9.2000000000;38.7000000000;2349.5300000000;Lx082;-9.1932011060;38.6963027221
Jardim da Torre de Belém;;55;68;43433.9000000000;-9.2200000000;38.6900000000;981.9350000000;Lx083;-9.2154937205;38.6928812688
PFM: Parque Recreativo do Alto da Serafina;;56;69;55883.7400000000;-9.1800000000;38.7300000000;1041.4200000000;Lx084;-9.1776577550;38.7336642199
Jardim Ducla Soares;;57;70;28744.0700000000;-9.2100000000;38.7000000000;1388.2600000000;Lx085;-9.2135832880;38.7013745208
Jardim Ducla Soares;;57;70;28744.0700000000;-9.2100000000;38.7000000000;1388.2600000000;Lx085;-9.2138062098;38.7002018380
Jardim Ducla Soares;;57;70;28744.0700000000;-9.2100000000;38.7000000000;1388.2600000000;Lx085;-9.2129935651;38.7020139956
Jardim Tristão da Silva;;58;71;1982.1000000000;-9.1200000000;38.7400000000;329.9680000000;Lx086;-9.1244750325;38.7383231803
Jardim Tristão da Silva;;58;71;1982.1000000000;-9.1200000000;38.7400000000;329.9680000000;Lx086;-9.1246017536;38.7383489420
Jardim Tristão da Silva;;58;71;1982.1000000000;-9.1200000000;38.7400000000;329.9680000000;Lx086;-9.1245142733;38.7384100911
Jardim Tristão da Silva;;58;71;1982.1000000000;-9.1200000000;38.7400000000;329.9680000000;Lx086;-9.1239460873;38.7386655440
PFM: Jardim do Palácio Marquês de Fronteira;;59;72;65376.7300000000;-9.1800000000;38.7400000000;1026.5800000000;Lx087;-9.1801362993;38.7392777830
Jardim de São Pedro de Alcântara / Jardim António Nobre;;60;73;6890.9200000000;-9.1400000000;38.7200000000;380.6870000000;Lx088;-9.1441371206;38.7151690209
